sessionID,seriesID,Latitude,Longitude,Manual Cluster
1,1,31.43496067,31.67756983,0
1,2,31.43495333,31.67757217,1
1,3,31.43493833,31.67757683,1
1,4,31.434916,31.6775845,0
1,5,31.43487883,31.67759883,0
1,6,31.4348365,31.67761667,0
1,7,31.434786,31.677637,0
1,8,31.43472733,31.67765883,0
1,9,31.43466517,31.6776805,0
1,10,31.434594,31.67770333,0
1,11,31.43452033,31.6777285,0
1,12,31.43444383,31.67775633,0
1,13,31.43436433,31.67778417,0
1,14,31.43428417,31.67781283,0
1,15,31.43420633,31.677837,0
1,16,31.43412683,31.67786017,0
1,17,31.43404267,31.677884,0
1,18,31.43395233,31.67790783,0
1,19,31.43387567,31.67793017,2
1,20,31.43380733,31.67794967,2
1,21,31.43374933,31.677967,0
1,22,31.43369967,31.6779805,0
1,23,31.43365933,31.67799233,1
1,24,31.43362583,31.678003,0
1,25,31.43358767,31.67801483,0
1,26,31.43353967,31.67802717,0
1,27,31.43348483,31.678043,0
1,28,31.43341767,31.678062,0
1,29,31.433348,31.678083,0
1,30,31.43327517,31.678105,0
1,31,31.43320183,31.67812817,0
1,32,31.43312633,31.67815317,0
1,33,31.43304533,31.678179,0
1,34,31.43295867,31.67820533,0
1,35,31.43287117,31.67823083,0
2,36,31.44894617,31.6832385,0
2,37,31.44894883,31.683238,0
2,38,31.44894883,31.683238,0
2,38.1,31.44894667,31.68323867,2
2,39,31.44894167,31.68324783,2
2,40,31.44893533,31.68326317,3
2,41,31.44893467,31.6832795,3
2,42,31.448934,31.68330317,0
2,43,31.4489295,31.683325,0
2,44,31.448914,31.6833465,0
3,45,31.448863,31.68052883,3
3,46,31.44884383,31.68050967,3
3,47,31.4488155,31.680509,3
3,48,31.44879083,31.68053333,3
3,49,31.44879417,31.68056133,3
3,50,31.44879067,31.6805915,3
3,51,31.448788,31.680624,3
3,52,31.4487935,31.68066217,3
3,53,31.44880617,31.68070817,3
3,54,31.44882033,31.68075333,3
3,55,31.448829,31.6807965,2
3,56,31.44883383,31.68083533,2
3,57,31.44884333,31.68086483,3
3,58,31.4488455,31.68088833,3
3,59,31.44884967,31.68090683,3
3,60,31.44885033,31.68092533,3
3,61,31.44885317,31.68094817,3
3,62,31.44885917,31.68097917,3
3,63,31.44885783,31.68101183,3
3,64,31.44886583,31.6810585,3
3,65,31.4488755,31.68110783,3
3,66,31.44888667,31.68115917,3
3,67,31.44890033,31.68121467,3
3,68,31.448915,31.68127283,3
3,69,31.4489315,31.681336,3
3,70,31.4489435,31.68139883,3
3,71,31.448953,31.681461,2
3,72,31.44896467,31.68152033,2
3,73,31.44896983,31.68157283,2
3,74,31.4489765,31.68161517,3
4,76,31.44896967,31.68099217,4
4,77,31.4489705,31.68099183,4
4,78,31.44897033,31.6809905,4
4,79,31.44897033,31.68099,3
4,80,31.44897017,31.68099033,3
4,81,31.44896983,31.68099,3
4,82,31.4489695,31.68098883,3
4,83,31.44896733,31.68098267,2
4,84,31.44896267,31.680968,3
4,85,31.44895783,31.68095083,3
4,86,31.448953,31.68093533,3
4,87,31.44894983,31.68092017,3
5,88,31.44908867,31.68173233,4
5,89,31.44908883,31.68173317,4
5,90,31.449089,31.6817345,4
5,91,31.4490895,31.68173583,4
